2020-11-04 21:32:30.102617 : 172.217.194.104, Successful, Avg RTT:65.39
2020-11-04 21:32:30.369199 : 172.217.194.106, Successful, Avg RTT:66.12
2020-11-04 21:32:38.401115 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 21:34:50.873123 : 172.217.194.10, Successful, Avg RTT:2000.0
2020-11-04 21:34:51.236515 : 172.217.194.99, Successful, Avg RTT:72.68
2020-11-04 21:34:51.566521 : 172.217.194.147, Successful, Avg RTT:64.57
2020-11-04 21:34:51.868317 : 172.217.194.103, Successful, Avg RTT:67.12
2020-11-04 21:34:52.204512 : 172.217.194.104, Successful, Avg RTT:69.02
2020-11-04 21:34:52.508611 : 172.217.194.106, Successful, Avg RTT:63.09
2020-11-04 21:35:00.532031 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 21:37:01.852996 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 21:39:28.270016 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 21:43:58.356711 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 21:44:51.811166 : 103.101.16.214, Successful, Avg RTT:44.8
2020-11-04 21:45:34.169141 : 103.101.16.214, Successful, Avg RTT:41.98
2020-11-04 21:52:18.648840 : 103.101.16.214, Successful, Avg RTT:49.3
2020-11-04 21:52:53.804574 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 21:59:09.930380 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:00:08.828100 : 103.101.16.214, Successful, Avg RTT:42.2
2020-11-04 22:01:23.182074 : 103.101.16.214, Successful, Avg RTT:44.43
2020-11-04 22:02:23.402454 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:03:33.400881 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:03:49.461592 : 103.101.16.214, Successful, Avg RTT:45.89
2020-11-04 22:11:54.634617 : 103.101.16.214, Successful, Avg RTT:40.78
2020-11-04 22:12:02.654898 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:12:21.573856 : 103.101.16.214, Successful, Avg RTT:46.05
2020-11-04 22:12:29.664089 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:13:59.537870 : 103.101.16.214, Successful, Avg RTT:41.57
2020-11-04 22:14:07.555661 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:15:06.236143 : 103.101.16.214, Successful, Avg RTT:39.01
2020-11-04 22:15:14.255108 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:19:40.088580 : 103.101.16.214, Successful, Avg RTT:43.74
2020-11-04 22:19:48.154996 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:20:20.273741 : 103.101.16.214, Successful, Avg RTT:45.61
2020-11-04 22:20:28.403727 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:21:07.839227 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:30:37.323943 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:31:29.604294 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:31:49.948320 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:32:51.877503 : 103.101.16.214, Successful, Avg RTT:46.22
2020-11-04 22:34:43.622722 : 103.101.16.214, Successful, Avg RTT:45.13
2020-11-04 22:34:48.751876 : 103.101.16.214, Successful, Avg RTT:36.85
2020-11-04 22:35:55.226663 : 103.101.16.214, Successful, Avg RTT:41.01
2020-11-04 22:36:29.415863 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:38:24.868840 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:39:06.278669 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:39:33.860779 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-04 22:40:05.374710 : 10.25.27.151, Successful, Avg RTT:2000.0
2020-11-05 00:13:41.807681 : 10.25.27.151, Failure!
2020-11-05 00:14:13.860894 : 103.233.206.222, Successful, Avg RTT:53.04
2020-11-05 00:14:14.039441 : 185.133.212.30, Successful, Avg RTT:44.36
2020-11-05 00:14:15.036703 : 103.101.16.190, Successful, Avg RTT:248.62
2020-11-05 00:14:17.209249 : 103.101.16.214, Successful, Avg RTT:542.5
2020-11-05 00:24:14.860811 : 103.233.206.222, Successful, Avg RTT:45.68
2020-11-05 00:24:15.042395 : 185.133.212.30, Successful, Avg RTT:44.8
2020-11-05 00:24:15.226406 : 103.101.16.190, Successful, Avg RTT:45.64
2020-11-05 00:24:15.400140 : 103.101.16.214, Successful, Avg RTT:42.9
2020-11-05 00:24:37.640026 : 103.233.206.222, Successful, Avg RTT:44.25
2020-11-05 00:24:37.839913 : 185.133.212.30, Successful, Avg RTT:49.48
2020-11-05 00:24:38.045279 : 103.101.16.190, Successful, Avg RTT:50.8
2020-11-05 00:24:38.245020 : 103.101.16.214, Successful, Avg RTT:49.4
2020-11-05 00:24:46.250034 : 10.25.27.151, Failure!
2020-11-05 00:30:51.314095 : 103.233.206.222, Successful, Avg RTT:57.08
